Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.068072204,0.514107525348663,-0.104282379150391,-0.244649291038513,0.57882176689119
0.072826839,0.428605675697327,-0.0774507522583008,-0.189317941665649,0.474913389263618
0.077581527,0.286099851131439,-0.0305709838867188,-0.141932725906372,0.320831121552207
0.082336162,0.0724981874227524,-0.0252370834350586,-0.0654876232147217,0.100903549760184
0.087090798,-0.0987280160188675,-0.0161733627319336,-0.0222725868225098,0.102493253108908
0.091845485,-0.149368792772293,-0.0278139114379883,0.0616943836212158,0.163984288558795
0.096600121,-0.130692049860954,-0.0476875305175781,0.175634384155273,0.224057915194544
0.101354756,-0.118369162082672,-0.0218296051025391,0.231569051742554,0.260982788543674
0.106109444,-0.120897889137268,0.0382194519042969,0.240115404129028,0.27153716762491
0.110864079,-0.103858008980751,0.0498857498168945,0.264684915542603,0.288674866554112
0.115618714,-0.0252366662025452,0.0633249282836914,0.295622825622559,0.303380604014527
0.12037335,0.0895097404718399,0.0512914657592773,0.219410181045532,0.242453367981359
0.125128037,0.189359039068222,0.0354185104370117,0.138678073883057,0.23736664621284
0.129882673,0.275559663772583,0.0796222686767578,0.0986478328704834,0.303321988813432
0.134637308,0.324035286903381,0.124286651611328,0.0401067733764648,0.34936312369508
0.139391996,0.279409319162369,0.14437198638916,-0.0271944999694824,0.31567765032913
0.144146631,0.241580680012703,0.118050575256348,-0.117019176483154,0.2932416255216
0.148901319,0.235566973686218,0.0516481399536133,-0.171294450759888,0.295805879443738
0.153655954,0.310893416404724,-0.0604381561279297,-0.156982183456421,0.353483935989587
0.158410589,0.331252306699753,-0.124680519104004,-0.111175775527954,0.370989724388955
0.163165225,0.270971894264221,-0.13603687286377,-0.104070901870728,0.320565985213466
0.167919912,0.234100043773651,-0.100971221923828,-0.113514184951782,0.279076133585235
0.172674548,0.302907317876816,-0.0579805374145508,-0.124926090240479,0.332747823381279
0.177429183,0.381393641233444,-0.0465641021728516,-0.140630006790161,0.409152934725232
0.182183871,0.425443023443222,-0.0448341369628906,-0.160570621490479,0.456940685997161
0.186938506,0.43853497505188,-0.071040153503418,-0.175424098968506,0.477632957669856
0.191693194,0.395979791879654,-0.0779609680175781,-0.187680006027222,0.445086163314105
0.196447829,0.341134905815125,-0.0731410980224609,-0.213638544082642,0.409101542044485
0.201202464,0.316153943538666,-0.0522451400756836,-0.169213533401489,0.362375620817398
0.205957152,0.241081118583679,-0.0296249389648438,-0.186647176742554,0.306324846090216
0.210711787,0.203332901000977,-0.0192699432373047,-0.161827564239502,0.260583498881898
0.215466423,0.227424278855324,-0.00685024261474609,-0.0841960906982422,0.242606080149718
0.22022111,0.258264273405075,-0.00640964508056641,0.0170974731445313,0.258908945491341
0.224975746,0.246756047010422,0.00801944732666016,0.0459017753601074,0.251117166384229
0.229730381,0.231298178434372,0.0174636840820313,0.0505795478820801,0.237407072920609
0.234485069,0.221247538924217,0.0150241851806641,0.122888803482056,0.253530782434041
0.239239704,0.249131724238396,0.0149993896484375,0.174856424331665,0.304739834681777
0.243994339,0.267249554395676,0.0126180648803711,0.181418180465698,0.323255465676138
0.248749027,0.308554530143738,-0.00378799438476563,0.134258508682251,0.336519827242414
0.253503662,0.314073503017426,-0.031580924987793,0.135109663009644,0.343357162673652
0.258258298,0.279907137155533,-0.0846214294433594,0.159598588943481,0.333137361075569
0.263012985,0.230169951915741,-0.103843688964844,0.179136514663696,0.309599110768391
0.267767621,0.15348719060421,-0.129825592041016,0.186913967132568,0.274499240686761
0.272522308,0.0924621671438217,-0.127243995666504,0.180710554122925,0.239575856791797
0.277276944,0.0420928299427033,-0.131830215454102,0.191238880157471,0.236057877062265
0.282031579,0.0395877510309219,-0.138765335083008,0.17364239692688,0.225775752158857
0.286786266,0.0182908028364182,-0.101031303405762,0.130717277526855,0.166219386295043
0.291540902,0.0772712379693985,-0.0499897003173828,0.121782541275024,0.152646001305466
0.296295537,0.144722521305084,-0.00929355621337891,0.0849089622497559,0.168049130406326
0.301050225,0.161883428692818,0.0189037322998047,0.0582265853881836,0.173072039411838
0.30580486,0.127265512943268,0.034846305847168,0.0320827960968018,0.135794262107412
0.310559496,0.0814856439828873,0.0223169326782227,-0.0242378711700439,0.0878944256385228
0.315314183,0.10939747095108,-0.0135107040405273,-0.0443933010101318,0.118832280752072
0.320068819,0.183989182114601,-0.0487680435180664,-0.00769734382629395,0.190498268511186
0.324823506,0.210553094744682,-0.0246362686157227,-0.0704102516174316,0.223376710895964
0.329578141,0.178146049380302,0.0108499526977539,-0.127328872680664,0.21924045749241
0.334332777,0.0922449380159378,0.036346435546875,-0.11974573135376,0.155464568773641
0.339087464,0.0289033651351929,0.0591182708740234,-0.0935182571411133,0.11435050890129
0.3438421,-0.0689268559217453,0.0462303161621094,-0.067765474319458,0.107146223029311
0.348596735,-0.151200205087662,0.0523891448974609,-0.0541436672210693,0.168930936248468
0.353351423,-0.21354866027832,0.0514383316040039,-0.097477912902832,0.240314118954258
0.358106058,-0.235118687152863,0.0316896438598633,-0.156873226165771,0.284419126755055
0.362860694,-0.18817064166069,0.01934814453125,-0.128353834152222,0.228598442298661
0.367615381,-0.139710709452629,-0.00696754455566406,-0.137999057769775,0.196497758150667
0.372370016,-0.117969870567322,0.00720310211181641,-0.164105176925659,0.202235714292767
0.377124704,-0.10844586789608,0.0329828262329102,-0.142690420150757,0.182233172317347
0.381879339,-0.106222689151764,0.00413703918457031,-0.11215353012085,0.154527632164656
