Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.067966108,-0.384844899177551,0.23804759979248,-0.109718084335327,0.465628944783456
0.072720587,-0.399660229682922,0.0919761657714844,-0.0346722602844238,0.411570261186909
0.077475118,-0.403185665607452,0.0111665725708008,0.103718996047974,0.416462487428944
0.082229649,-0.414866209030151,0.00514984130859375,0.133094787597656,0.43572320886799
0.086984128,-0.438141047954559,0.157511711120605,0.0869810581207275,0.473648837763445
0.09173866,-0.465362131595612,0.30364990234375,-0.0209810733795166,0.556062390525323
0.096493139,-0.460508704185486,0.359002113342285,-0.0125107765197754,0.584043922615372
0.10124767,-0.275598585605621,0.305365562438965,-0.00472021102905273,0.411369648252813
0.106002149,-0.0454791784286499,0.207151412963867,-0.100717544555664,0.234785194049356
0.110756628,0.1663978099823,0.142577171325684,-0.160031795501709,0.271342323498638
0.115511108,0.245263576507568,0.0752849578857422,-0.112616300582886,0.280186505745935
0.120265691,0.248290657997131,0.0275783538818359,-0.0837199687957764,0.2634726733964
0.12502017,0.310945868492126,-0.0336208343505859,-0.115411758422852,0.333373015730138
0.129774701,0.280296206474304,-0.0737857818603516,-0.072887659072876,0.298869395913588
0.13452918,0.32468169927597,-0.0529422760009766,0.086449146270752,0.340139008824094
0.139283712,0.47301584482193,0.00110530853271484,0.118175506591797,0.487555803491031
0.144038191,0.634621202945709,0.0963802337646484,-0.0343565940856934,0.642816922806141
0.148792722,0.807309031486511,0.204065322875977,-0.171685934066772,0.85021561281627
0.153547201,0.935964226722717,0.211338996887207,-0.269746780395508,0.996722895715598
0.158301733,0.981121420860291,0.158795356750488,-0.341879606246948,1.05104560936431
0.163056212,0.998884379863739,0.0253276824951172,-0.30384373664856,1.04438140166172
0.167810743,0.863154411315918,-0.117367744445801,-0.173056125640869,0.888121133535427
0.172565222,0.664276361465454,-0.137534141540527,-0.102486133575439,0.686062775601705
0.177319753,0.484692573547363,-0.113287925720215,-0.0342621803283691,0.498933805195448
0.182074233,0.286159038543701,-0.0691566467285156,-0.0259609222412109,0.29553951784931
0.186828764,0.0362812280654907,0.0454072952270508,-0.061847448348999,0.0848720026690711
0.191583243,-0.129313349723816,0.119462013244629,-0.0177764892578125,0.176943828927677
0.196337774,-0.190334320068359,0.126418113708496,0.094796895980835,0.247376523455845
0.201092253,-0.177880108356476,0.10072135925293,0.0950784683227539,0.225446313558839
0.205846785,-0.145068824291229,0.0362224578857422,0.0489509105682373,0.157331566705425
0.210601264,-0.103908181190491,-0.0498847961425781,0.00423359870910645,0.11534004665567
0.215355795,-0.107952356338501,-0.0755701065063477,-0.0509319305419922,0.141274958096436
0.220110274,-0.170044243335724,-0.119363784790039,-0.0906765460968018,0.226682583854753
0.224864805,-0.223634839057922,-0.152820587158203,-0.138879776000977,0.304391631425574
0.229619337,-0.294746398925781,-0.187895774841309,-0.25611400604248,0.433329719698591
0.234373816,-0.410996079444885,-0.180205345153809,-0.349701046943665,0.568931073131504
0.239128347,-0.564435303211212,-0.15644645690918,-0.371102690696716,0.693382947895974
0.243882826,-0.747557282447815,-0.147320747375488,-0.366459369659424,0.845480787930286
0.248637358,-0.889840245246887,-0.164231300354004,-0.265895366668701,0.943126676588511
0.253391837,-0.95509546995163,-0.201907157897949,-0.181501626968384,0.992933380305407
0.258146368,-0.952155351638794,-0.152155876159668,-0.19255542755127,0.983274537951514
0.262900847,-0.86832994222641,0.0137720108032227,-0.25737190246582,0.905774173305554
0.267655378,-0.728557586669922,0.14833927154541,-0.274194955825806,0.792454144021747
0.272409858,-0.547654867172241,0.21238899230957,-0.31913435459137,0.668492089610767
0.277164389,-0.448153704404831,0.291813850402832,-0.492682218551636,0.727140175300238
0.281918868,-0.402528911828995,0.407599449157715,-0.569960594177246,0.808097713600767
0.286673399,-0.330060362815857,0.509889602661133,-0.374516725540161,0.713575523482545
0.29142793,-0.266503930091858,0.516704559326172,-0.385360479354858,0.697503150839812
0.29618241,-0.197287857532501,0.448464393615723,-0.469310641288757,0.67845065339916
0.300936941,-0.328974276781082,0.379274368286133,-0.498188734054565,0.707294235775587
0.30569142,-0.57135021686554,0.250298500061035,-0.383455038070679,0.732207740785966
0.310445951,-0.739520728588104,0.116572380065918,-0.24735701084137,0.788457683466964
0.31520043,-0.820998847484589,0.0651445388793945,-0.12535834312439,0.833065203155026
0.319954962,-0.814946413040161,0.0593442916870117,-0.0195314884185791,0.817337678149431
0.324709441,-0.732297003269196,0.0654516220092773,0.01171875,0.735309557208562
0.329463972,-0.585816085338593,0.12565803527832,-0.011594295501709,0.599253581849639
0.334218451,-0.371568143367767,0.194405555725098,-0.0345454216003418,0.420772850141379
0.338972983,-0.160974144935608,0.269232749938965,-0.0241949558258057,0.314617775824666
0.343727462,0.00146615505218506,0.284107208251953,-0.00464081764221191,0.284148891568741
0.348481993,0.071816623210907,0.279994010925293,-0.0443761348724365,0.29244403715868
0.353236524,0.124282777309418,0.22657585144043,-0.0719795227050781,0.268260837396272
0.357991003,0.133307337760925,0.133943557739258,-0.0380086898803711,0.192759911462881
0.362745535,0.0620571374893189,-0.0186786651611328,0.00264978408813477,0.0648614076418611
0.367500014,-0.0646860003471375,-0.117294311523438,0.061737060546875,0.14749135161641
0.372254545,-0.107155978679657,-0.219315528869629,0.167364597320557,0.295960492982479
0.377009024,-0.0382123589515686,-0.298791885375977,0.283613681793213,0.413731187661114
0.381763555,0.0698328018188477,-0.289969444274902,0.299460411071777,0.422652855925811
0.386518087,0.202420890331268,-0.196369171142578,0.168951511383057,0.328754743564782
0.391272566,0.321598708629608,-0.0332002639770508,0.0496001243591309,0.327090445071113
0.396027097,0.54308009147644,0.0924816131591797,0.207883358001709,0.58881603669113
0.400781576,0.792563080787659,0.129146575927734,0.151736736297607,0.817226475491178
0.405536108,0.944974958896637,0.122797012329102,-0.0075225830078125,0.95294982471994
0.410290587,0.926304936408997,0.0952281951904297,-0.0490255355834961,0.932476673978578
0.415045118,0.747971177101135,0.0231046676635742,0.0185096263885498,0.7485568206295
0.419799597,0.518029510974884,-0.0670843124389648,0.0663409233093262,0.526551039617073
0.424554128,0.321939170360565,-0.189308166503906,0.0568702220916748,0.37777855084464
0.429308608,0.204118371009827,-0.277054786682129,0.057096004486084,0.348831790316565
0.434063139,0.0337144136428833,-0.271659851074219,0.00309205055236816,0.273761387250957
0.43881767,-0.122640311717987,-0.256953239440918,0.0160531997680664,0.285172436501602
0.443572149,-0.189530432224274,-0.235404014587402,0.00536417961120606,0.302267446553358
0.44832668,-0.234344601631165,-0.226007461547852,0.0470438003540039,0.328952708061083
0.45308116,-0.195939362049103,-0.22389030456543,0.100315570831299,0.313978209163979
0.457835691,-0.202949643135071,-0.186386108398438,0.0538654327392578,0.280766493543575
0.46259017,-0.226555347442627,-0.137515068054199,-0.0652623176574707,0.272941183229693
0.467344701,-0.269149422645569,-0.0891485214233398,-0.116927146911621,0.306693378257997
0.47209918,-0.302140057086945,-0.0838556289672852,-0.13507604598999,0.341417513912645
0.476853712,-0.268714427947998,-0.0762224197387695,-0.148419618606567,0.316299990903528
0.481608243,-0.299646496772766,-0.0355052947998047,-0.237506747245789,0.384002739540081
0.486362722,-0.372771918773651,0.0237550735473633,-0.271411180496216,0.461722033093267
0.491117253,-0.487751483917236,0.0232553482055664,-0.243651151657105,0.545718063644096
0.495871733,-0.596911191940308,-0.10035514831543,-0.178406596183777,0.631033311655488
0.500626264,-0.598564267158508,-0.241663932800293,-0.0475401878356934,0.647256292201906
0.505380743,-0.614654421806335,-0.355545043945313,0.167421102523804,0.729549286950814
0.510135274,-0.602432250976563,-0.43999195098877,0.399664878845215,0.846315277738711
0.514889805,-0.531521916389465,-0.412480354309082,0.557125568389893,0.873524177826256
0.519644285,-0.366939097642899,-0.402073860168457,0.588597059249878,0.801719519886695
0.524398816,-0.156831920146942,-0.261665344238281,0.537799596786499,0.618298803052405
0.529153295,0.0273622274398804,-0.110907554626465,0.459774494171143,0.473752849758209
0.533907826,0.278427541255951,0.00989151000976563,0.418509006500244,0.50276189814059
0.538662305,0.524807989597321,0.172174453735352,0.380280017852783,0.670582105668173
